Time,Reference,Target
19.44,49.75,49.75
19.46,50.38,50.38
19.48,50.58,50.58
19.5,50.81,50.81
19.52,50.93,50.93
19.54,50.49,50.49
19.56,49.1,49.1
19.58,48.04,48.04
19.6,47.3,47.3
19.62,46.27,46.27
19.64,46.68,46.68
19.66,46.69,46.69
19.68,47.24,47.24
19.7,47.59,47.59
19.72,48.09,48.09
19.74,48.49,48.49
19.76,48.75,48.75
19.78,48.47,48.47
19.8,48.19,48.19
19.82,47.81,47.81
19.84,47.76,47.76
19.86,48.27,48.27
19.88,48.86,48.86
19.9,48.93,
19.92,49.08,
19.94,49.34,
19.96,50.68,50.68
19.98,51.74,51.74
20,52.8,52.8
20.02,53.9,53.9
20.04,55.01,55.01
20.06,55.98,55.98
20.08,57.05,57.05
20.1,58.02,58.02
20.12,58.73,58.73
20.14,59.34,59.34
20.16,59.61,59.61
20.18,60.28,60.28
20.2,60.59,60.59
20.22,61.16,61.16
20.24,61.47,61.47
20.26,61.92,61.92
20.28,62.15,62.15
20.3,62.46,62.46
20.32,62.77,62.77
20.34,62.91,62.91
20.36,62.67,62.67
20.38,62.21,62.21
20.4,61.88,61.88
20.42,61.19,61.19
20.44,60.92,60.92
20.46,60.41,60.41
20.48,59.99,59.99
20.5,59.51,59.51
20.52,58.91,58.91
20.54,57.96,57.96
20.56,57.18,57.18
20.58,56.28,
20.6,55.68,
20.62,55.65,
20.64,55.79,
20.66,55.76,
20.68,56.1,56.1
20.7,56.43,
20.72,56.85,
20.74,57.17,57.17
20.76,56.81,56.81
20.78,56.53,56.53
20.8,56.01,56.01
20.82,55.53,55.53
20.84,55.71,55.71
20.86,55.36,55.36
20.88,54.53,54.53
20.9,52.82,52.82
20.92,50.74,50.74
20.94,48.42,48.42
20.96,45.42,45.42
20.98,44.19,44.19
21,43.39,43.39
21.02,43.04,43.04
21.04,43.37,43.37
21.06,44.28,44.28
21.08,44.31,44.31
21.1,44.57,44.57
21.12,44.51,44.51
21.14,44.64,44.64
21.16,45.12,45.12
21.18,45.54,45.54
21.2,45.76,45.76
21.22,45.92,45.92
21.24,46.04,
21.26,46.29,
21.28,46.31,
21.3,46.95,46.95
21.32,47.68,
21.34,50.18,
21.36,51.66,
21.38,52.97,52.97
21.4,54.09,54.09
21.42,55.74,55.74
21.44,56.66,56.66
21.46,57.89,57.89
21.48,58.71,58.71
21.5,59.63,59.63
21.52,60.25,60.25
21.54,60.8,60.8
21.56,60.93,60.93
21.58,61.08,61.08
21.6,61.72,61.72
21.62,62.39,62.39
21.64,63.42,63.42
21.66,63.96,63.96
21.68,64.21,64.21
21.7,63.85,63.85
21.72,63.38,63.38
21.74,63.1,63.1
21.76,62.87,62.87
21.78,62.94,62.94
21.8,63.25,63.25
21.82,63.5,63.5
21.84,64.07,64.07
21.86,64.57,64.57
21.88,64.68,64.68
21.9,64.64,64.64
21.92,64.88,64.88
21.94,65.41,65.41
21.96,65.28,
21.98,65.32,
22,65.95,
22.02,66.43,
22.04,66.99,
22.06,67.51,67.51
22.08,68.11,
22.1,68.71,
22.12,69.38,
22.14,69.83,
22.16,70.21,
22.18,70.41,
22.2,70.63,70.63
22.22,70.76,
22.24,70.6,
22.26,70.64,
22.28,70.63,
22.3,70.65,
22.32,70.72,
22.34,70.76,
22.36,70.69,70.69
22.38,70.6,
22.4,70.57,
